p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Print_Pattern_Type,Sustainable,Knit_or_Woven,Fabric,Fabric_Purity,brandID
10854038.0,Tokyo Talkies Women Maroon & Navy Blue Solid Sweatshirt,1199.0,Maroon,Tokyo Talkies,1724.0,4.346867749,Casual,Solid,,Knitted and Woven,Cotton,,845
11458584.0,Mitera Yellow Silk Blend Woven Design Kanjeevaram Saree,4080.0,Yellow,Mitera,5144.0,4.454315708,Traditional,Geometric,,Knitted and Woven,Silk Blend,,548
11489658.0,Roadster Women Blue Washed Regular Fit Denim Shorts,999.0,Blue,Roadster,472.0,4.283898305,Casual,Washed,,Knitted,Cotton,,702
11697268.0,Roadster Women White Solid Round Neck Boxy Cropped Top,499.0,White,Roadster,3106.0,4.300708307,Casual,Typography,Regular,Knitted,Pure Cotton,,702
12178124.0,Roadster Women Blue Washed Denim Jacket,1999.0,Blue,Roadster,1211.0,4.45251858,Casual,Solid,,Woven,Cotton,,702
12693276.0,Tokyo Talkies Women Green Solid Capri Jumpsuit,2999.0,Green,Tokyo Talkies,583.0,4.253859348,Casual,Solid,Regular,Knitted and Woven,Polyester,,845
14182598.0,QOMN Navy Blue Geometric Printed Pure Cotton Regular Top,1399.0,Navy Blue,QOMN,789.0,4.357414449,Ethnic,Geometric,Regular,Knitted,Pure Cotton,,661
16331376.0,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,4899.0,Navy Blue,Anubhutee,1752.0,4.16152968,Daily,Ethnic Motifs,Regular,Woven,Viscose Rayon,,78
16542192.0,Cottinfab Women Solid Rust Shirt with Trousers,3299.0,Rust,Cottinfab,180.0,4.1,Casual,Solid,Regular,Knitted and Woven,Polyester,,178
16608404.0,JATRIQQ Magenta Embroidered Faux Georgette Semi-Stitched Dress Material,7499.0,Magenta,JATRIQQ,118.0,3.754237288,Festive,Floral,Regular,Woven,Poly Georgette,,383
17022192.0,"House of Pataudi Girls Green Pure Cotton Printed Ready to Wear Lehenga, Blouse & Dupatta",1999.0,Green,House of Pataudi,9.0,4.333333333,Casual,Printed,Regular,Knitted and Woven,Cotton,,345
17660942.0,Trend Arrest Women Black & White Printed Blazers,2199.0,Black,Trend Arrest,5.0,4.8,Casual,Printed,Regular,Knitted and Woven,Polyester,,847
18841642.0,Styli Women Brown Printed Flared Midi Skirts,1849.0,Brown,Styli,,,Casual,Solid,Regular,Knitted,Polyester,,796
19040144.0,ADDYVERO Women Black High-Rise Easy Wash Trousers,1699.0,Black,ADDYVERO,96.0,4.239583333,Party,Solid,Regular,Knitted,Cotton,,16
19259882.0,Kotty Women Black Jean Straight Fit High-Rise Stretchable Jeans,1999.0,Black,Kotty,18.0,3.944444444,Casual,Solid,Regular,Knitted and Woven,Cotton,,446
1294879.0,Purple Feather Black Pencil Skirt With Back Slit,1499.0,Black,Purple Feather,2536.0,4.206230284,Formal,Solid,Regular,Knitted and Woven,Cotton,,658
11634534.0,Athena Women Burgundy Solid Basic Jumpsuit,2499.0,Burgundy,Athena,1983.0,4.357034796,Casual,Solid,,Knitted and Woven,Polyester,,86
